Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/category?page=1&category=6,25,0,1000.0,1009.6087667229585,395.48245901823975,1774.4053339993116,112564.0,0.6888671436816213,0.0,1000,1200,1300,1300,1400,1600,1800,1800,1800,1800,1800
GET,/tools.descartes.teastore.webui/category?page=2&category=2,26,0,1000.0,909.8033717678985,153.95870798965916,1558.7603749881964,102312.0,0.7164218294288861,0.0,1100,1200,1300,1300,1400,1500,1600,1600,1600,1600,1600
GET,/tools.descartes.teastore.webui/category?page=2&category=3,29,0,1100.0,1040.6118951705766,171.48733299109153,1787.6085420139134,102877.0,0.7990858866706807,0.0,1100,1300,1400,1500,1600,1600,1800,1800,1800,1800,1800
GET,/tools.descartes.teastore.webui/category?page=2&category=4,26,0,1000.0,1101.4787901916022,358.68995799683034,2346.646874997532,149513.0,0.7164218294288861,0.0,1200,1400,1500,1500,1600,2300,2300,2300,2300,2300,2300
GET,/tools.descartes.teastore.webui/category?page=2&category=5,27,0,1100.0,1158.4470123322078,104.25149998627603,1759.2442499881145,121417.0,0.7439765151761509,0.0,1100,1200,1400,1400,1700,1700,1800,1800,1800,1800,1800
GET,/tools.descartes.teastore.webui/category?page=2&category=6,28,0,1100.0,980.0920476430163,195.4078330018092,1642.7321250084788,109990.0,0.7715312009234158,0.0,1100,1100,1300,1300,1300,1400,1600,1600,1600,1600,1600
GET,/tools.descartes.teastore.webui/category?page=3&category=2,31,0,980.0,965.36322177722,151.07870800420642,1714.106166997226,103935.0,0.8541952581652104,0.0,980,1300,1400,1400,1600,1700,1700,1700,1700,1700,1700
GET,/tools.descartes.teastore.webui/category?page=3&category=3,36,0,1100.0,1060.0355116103956,119.9450840067584,1896.5597080241423,103543.0,0.9919686869015346,0.0,1100,1300,1400,1400,1600,1700,1900,1900,1900,1900,1900
GET,/tools.descartes.teastore.webui/category?page=3&category=4,35,0,990.0,1022.9109024021974,146.7653340077959,2019.507666991558,151538.0,0.9644140011542698,0.0,990,1300,1500,1500,1600,1700,2000,2000,2000,2000,2000
GET,/tools.descartes.teastore.webui/category?page=3&category=5,25,0,1100.0,1026.5853285195772,331.67833401239477,1837.1291249932256,122922.0,0.6888671436816213,0.0,1100,1300,1300,1400,1400,1600,1800,1800,1800,1800,1800
GET,/tools.descartes.teastore.webui/category?page=3&category=6,27,0,1100.0,1044.7937685131803,331.00837501115166,2516.5835410007276,111766.0,0.7439765151761509,0.0,1100,1100,1400,1400,1600,1700,2500,2500,2500,2500,2500
GET,/tools.descartes.teastore.webui/category?page=4&category=2,25,0,980.0,1081.7025483201724,123.27216600533575,2466.368249995867,100147.0,0.6888671436816213,0.0,980,1200,1300,1400,1800,2500,2500,2500,2500,2500,2500
GET,/tools.descartes.teastore.webui/category?page=4&category=3,23,0,900.0,878.388949256117,164.34166600811295,1845.5476669769268,104081.0,0.6337577721870915,0.0,900,1100,1300,1300,1400,1700,1800,1800,1800,1800,1800
GET,/tools.descartes.teastore.webui/category?page=4&category=4,28,0,1500.0,1460.8783867848356,358.3846249966882,2727.081165998243,146641.0,0.7715312009234158,0.0,1600,1700,1800,1800,2300,2700,2700,2700,2700,2700,2700
GET,/tools.descartes.teastore.webui/category?page=4&category=5,33,0,1000.0,1014.3985896632357,119.49491701670922,1764.448292000452,124342.0,0.90930462965974,0.0,1000,1200,1300,1400,1600,1600,1800,1800,1800,1800,1800
GET,/tools.descartes.teastore.webui/category?page=4&category=6,21,0,1100.0,1053.8765555206087,77.38491700729355,1969.2269579973072,110401.0,0.5786484006925618,0.0,1100,1200,1300,1400,1800,1900,2000,2000,2000,2000,2000
GET,/tools.descartes.teastore.webui/category?page=5&category=2,36,0,1000.0,1028.9107245569337,277.6308750035241,2117.802374996245,104242.0,0.9919686869015346,0.0,1100,1200,1300,1300,1400,1600,2100,2100,2100,2100,2100
GET,/tools.descartes.teastore.webui/category?page=5&category=3,24,0,1100.0,1079.9970504170535,347.4387919995934,1613.2377079920843,106385.0,0.6613124579343564,0.0,1100,1200,1300,1300,1400,1600,1600,1600,1600,1600,1600
GET,/tools.descartes.teastore.webui/category?page=5&category=4,16,0,1100.0,1112.3709950024931,473.6476670077536,1848.4041249903385,150980.0,0.4408749719562376,0.0,1200,1300,1300,1300,1600,1800,1800,1800,1800,1800,1800
GET,/tools.descartes.teastore.webui/category?page=5&category=5,31,0,1000.0,968.6295174178667,176.3839169871062,2525.283249997301,122125.0,0.8541952581652104,0.0,1000,1200,1300,1300,1600,1700,2500,2500,2500,2500,2500
GET,/tools.descartes.teastore.webui/category?page=5&category=6,29,0,1100.0,977.9298864164518,80.07966700824909,1808.7606670160312,111708.0,0.7990858866706807,0.0,1100,1200,1300,1400,1500,1600,1800,1800,1800,1800,1800
GET,/tools.descartes.teastore.webui/login,334,0,340.0,368.96671644571614,36.83770800125785,1425.6548339908477,9901.0,9.20326503958646,0.0,340,410,460,520,620,700,930,1200,1400,1400,1400
POST,/tools.descartes.teastore.webui/loginAction?logout=,243,0,720.0,753.6743503109908,120.72054200689308,1452.382540999679,9113.0,6.695788636585359,0.0,720,850,940,1000,1200,1200,1400,1400,1500,1500,1500
