Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=124,5,0,740.0,737.0392300188541,513.8357379473746,1020.7892591133714,29036.6,0.041902972210360566,0.0,740,740,740,1000,1000,1000,1000,1000,1000,1000,1000
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=125,9,0,550.0,579.0830215749642,327.4824880063534,878.9003128185868,28773.333333333332,0.07542534997864901,0.0,550,620,690,770,880,880,880,880,880,880,880
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=126,4,0,580.0,735.7940019574016,495.5214527435601,1282.8240799717605,28202.0,0.03352237776828845,0.0,590,590,1300,1300,1300,1300,1300,1300,1300,1300,1300
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=127,6,0,670.0,710.5850500520319,582.0222101174295,910.0344469770789,28780.166666666668,0.05028356665243268,0.0,750,750,750,750,910,910,910,910,910,910,910
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=128,8,0,530.0,578.1961340107955,458.967424929142,733.7156892754138,28870.125,0.0670447555365769,0.0,590,610,690,690,730,730,730,730,730,730,730
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=129,10,0,550.0,627.0549479406327,449.7547559440136,1009.5107820816338,28798.3,0.08380594442072113,0.0,670,680,690,710,1000,1000,1000,1000,1000,1000,1000
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=13,1,0,516.6020169854164,516.6020169854164,516.6020169854164,516.6020169854164,29906.0,0.008380594442072113,0.0,520,520,520,520,520,520,520,520,520,520,520
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=130,8,0,650.0,710.2906501968391,532.306854147464,978.3277357928455,28938.625,0.0670447555365769,0.0,660,750,870,870,980,980,980,980,980,980,980
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=131,9,0,620.0,709.7124009289676,325.82100480794907,1296.349560841918,28904.444444444445,0.07542534997864901,0.0,620,740,800,980,1300,1300,1300,1300,1300,1300,1300
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=132,6,0,740.0,732.325287302956,440.0055920705199,913.6645887047052,29076.833333333332,0.05028356665243268,0.0,780,780,790,790,910,910,910,910,910,910,910
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=133,7,0,600.0,617.6337656298919,430.8993760496378,866.6252982802689,28955.14285714286,0.05866416109450479,0.0,600,640,680,680,870,870,870,870,870,870,870
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=134,8,0,530.0,654.9429232836701,373.5975082963705,1160.9201049432158,28800.75,0.0670447555365769,0.0,650,670,850,850,1200,1200,1200,1200,1200,1200,1200
POST,/tools.descartes.teastore.webui/cartAction?addToCart=&productid=135,6,0,710.0,803.8483744021505,565.892904996872,1156.263436190784,29098.0,0.05028356665243268,0.0,850,850,870,870,1200,1200,1200,1200,1200,1200,1200
